DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20190925,9/25/2019,WED,12678,Foothills,1630-2030,4.0,0.0
20190921,9/21/2019,SAT,000000,Sick,1100-1630,5.5,0.0
20190920,9/20/2019,FRI,12678,Foothills,1530-2030,5.0,0.0
20190918,9/18/2019,WED,12678,Foothills,1630-2030,4.0,0.0
20190917,9/17/2019,TUE,12678,Foothills,1630-2030,4.0,0.0
20190916,9/16/2019,MON,12678,Foothills,1630-2030,4.0,0.0
20190915,9/15/2019,SUN,12678,Foothills,0600-1230,6.0,0.0
20190913,9/13/2019,FRI,12685,Santa Clara Program,1600-1900,3.0,0.0
20190913,9/13/2019,FRI,12678,Foothills,1900-2030,1.5,0.0
20190818,8/18/2019,SUN,12666,Summer BootPolicyCamp,1645-1945,3.0,0.0
20190817,8/17/2019,SAT,12576,Frost Concert- Joe Russo,1500-2300,7.5,0.0
20190816,8/16/2019,FRI,12032,Foothills,1500-2100,5.5,0.0
20190812,8/12/2019,MON,12559,ID-Tech,1600-1800,2.0,0.0
20190812,8/12/2019,MON,12032,Foothills,1800-2100,3.0,0.0
20190811,8/11/2019,SUN,12032,Foothills,0530-1230,6.5,0.0
20190810,8/10/2019,SAT,12607,SEP_AnnualTraining,0700-1140,4.67,0.0
20190805,8/5/2019,MON,12559,ID-TECH,1600-1800,2.0,0.0
20190805,8/5/2019,MON,12032,Foothills,1800-2100,3.0,0.0
20190803,8/3/2019,SAT,12032,Foothills,0530-1230,6.5,0.0
20190802,8/2/2019,FRI,12032,Foothills,1500-2100,5.5,0.0
20190729,7/29/2019,MON,12559,ID Tech,1600-1800,2.0,0.0
20190729,7/29/2019,MON,12032,Foothills,1800-2100,3.0,0.0
20190728,7/28/2019,SUN,12032,Foothills,0530-1230,6.5,0.0
20190723,7/23/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190722,7/22/2019,MON,12032,Foothills,1700-2100,4.0,0.0
20190718,7/18/2019,THU,12559,ID Tech,1600-1800,2.0,0.0
20190718,7/18/2019,THU,12032,Foothills,1800-2100,3.0,0.0
20190716,7/16/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190713,7/13/2019,SAT,12573,Frost-SF Symphony,1600-2230,6.0,0.0
20190712,7/12/2019,FRI,12032,Foothills,1500-2100,5.5,0.0
20190709,7/9/2019,TUE,12628,Hoover Summer Board,1700-2130,4.5,0.0
20190708,7/8/2019,MON,12032,Foothills,1700-2100,4.0,0.0
20190705,7/5/2019,FRI,12032,Foothills,0530-1230,6.5,0.0
20190704,7/4/2019,THU,12032,Foothills/FireWatch,1600-0000,7.5,0.0
20190703,7/3/2019,WED,12559,ID TECH,1600-1800,2.0,0.0
20190703,7/3/2019,WED,12032,Foothills,1800-2100,3.0,0.0
20190702,7/2/2019,TUE,12559,ID Tech,1630-1800,1.5,0.0
20190702,7/2/2019,TUE,12032,Foothills,1800-2100,3.0,0.0
20190630,6/30/2019,SUN,12032,Foothills,0530-1230,6.5,0.0
20190625,6/25/2019,TUE,12559,ID Tech,1630-1800,1.5,0.0
20190625,6/25/2019,TUE,12032,Foothills,1800-2100,3.0,0.0
20190624,6/24/2019,MON,12559,ID Tech,1630-1800,1.5,0.0
20190624,6/24/2019,MON,12032,Foothilld,1800-2100,3.0,0.0
20190623,6/23/2019,SUN,12032,Foothilld,1600-2100,5.0,0.0
20190622,6/22/2019,SAT,12605,Summer Scamper Security,1530-0000,8.0,0.0
20190620,6/20/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190619,6/19/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190618,6/18/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190615,6/15/2019,SAT,12892,Comm Stadium Security,1630-0000,7.0,0.0
20190614,6/14/2019,FRI,12037,Vaden Pharmacy,1600-1800,2.0,0.0
20190614,6/14/2019,FRI,12032,Foothills,1800-2100,3.0,0.0
20190612,6/12/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190611,6/11/2019,TUE,12592,Comm Stadium Security,1630-0000,7.0,0.0
20190608,6/8/2019,SAT,12031,Foothills,0530-1230,6.5,0.0
20190607,6/7/2019,FRI,12560,EPAA Graduation,1500-2000,5.0,0.0
20190605,6/5/2019,WED,12032,Foothilld,1700-2100,4.0,0.0
20190604,6/4/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190601,6/1/2019,SAT,12851,Founders Circle,0500-1300,7.5,0.0
20190530,5/30/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190529,5/29/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190527,5/27/2019,MON,12032,Foothill,0530-1230,6.5,0.0
20190525,5/25/2019,SAT,12032,Foothills,0530-1230,6.5,0.0
20190524,5/24/2019,FRI,12037,VadenPharmacy,1600-1800,2.0,0.0
20190524,5/24/2019,FRI,12032,Foothills,1800-2100,3.0,0.0
20190522,5/22/2019,WED,12584,GenderEquality,1530-1900,3.5,0.0
20190522,5/22/2019,WED,12032,Foothills,1930-2100,1.5,0.0
20190521,5/21/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190518,5/18/2019,SAT,12446,Frost-Concert,1500-2300,7.5,0.0
20190517,5/17/2019,FRI,12547,GradFormalParty,1900-0045,5.25,0.0
20190516,5/16/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190513,5/13/2019,MON,12032,Foothills,1700-2100,4.0,0.0
20190512,5/12/2019,SUN,12471,PowWow,1000-1800,7.5,0.0
20190511,5/11/2019,SAT,12472,PowWow,0700-1600,8.0,0.5
20190509,5/9/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190508,5/8/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190507,5/7/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190505,5/5/2019,SUN,12032,Foothills,0530-1230,6.5,0.0
20190503,5/3/2019,FRI,12032,Foothills,1700-2100,4.0,0.0
20190502,5/2/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190501,5/1/2019,WED,12032,Foothills,1700-2100,4.0,0.0
